Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
130100 Carauari,-,-,-,-,1,1,-,-,-,-,-,-,-,2
130110 Careiro,-,-,-,-,1,4,3,1,-,-,1,-,-,10
130115 Careiro da Várzea,-,-,-,-,1,-,-,-,-,-,-,-,-,1
130120 Coari,-,-,-,1,17,32,14,4,3,2,2,-,-,75
130130 Codajás,-,-,-,-,-,3,1,1,-,-,-,-,-,5
130140 Eirunepé,-,-,1,-,1,7,2,2,2,-,-,-,-,15
130150 Envira,-,-,-,1,4,1,1,-,-,-,-,-,-,7
130160 Fonte Boa,-,-,-,-,2,3,1,-,-,-,-,-,-,6
130165 Guajará,-,-,-,-,1,1,2,1,1,-,-,-,-,6
130170 Humaitá,-,-,-,-,1,3,1,-,-,-,-,-,-,5
130180 Ipixuna,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130185 Iranduba,-,-,-,-,3,9,7,2,-,4,-,-,2,27
130190 Itacoatiara,-,-,-,-,4,14,5,4,2,-,1,-,-,30
130195 Itamarati,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130200 Itapiranga,-,-,-,-,-,1,-,-,1,-,-,-,-,2
130220 Juruá,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130230 Jutaí,-,-,-,-,1,1,-,2,-,-,-,-,-,4
130240 Lábrea,-,-,-,-,1,4,3,1,-,-,-,-,1,10
130250 Manacapuru,-,-,-,-,4,14,6,2,3,-,-,-,1,30
130255 Manaquiri,-,-,-,-,-,2,-,1,-,-,-,-,-,3
130260 Manaus,1,2,-,6,157,532,305,93,54,21,5,4,11,1.191
130270 Manicoré,1,-,-,-,-,6,2,1,-,-,1,-,-,11
130290 Maués,-,-,-,1,2,3,3,1,1,-,-,-,-,11
130300 Nhamundá,-,-,-,-,-,-,-,1,-,-,-,-,-,1
130310 Nova Olinda do Norte,-,-,-,-,-,4,1,1,-,-,-,-,-,6
130320 Novo Airão,-,-,-,-,-,-,1,1,-,2,-,-,-,4
130330 Novo Aripuanã,-,-,-,-,1,1,1,-,1,-,-,-,-,4
130340 Parintins,-,-,-,-,3,4,3,2,2,-,-,1,-,15
130350 Pauini,-,-,-,-,1,1,-,-,-,-,-,-,-,2
130353 Presidente Figueiredo,-,-,-,1,2,5,-,1,-,-,1,-,-,10
130356 Rio Preto da Eva,-,-,-,-,2,5,6,4,2,-,1,-,-,20
130360 Santa Isabel do Rio Negro,-,-,-,1,-,1,-,-,-,-,-,-,-,2
130370 Santo Antônio do Içá,-,-,-,-,1,2,-,-,-,2,-,-,-,5
130380 São Gabriel da Cachoeira,-,-,-,-,2,2,1,-,2,1,-,-,-,8
130395 São Sebastião do Uatumã,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130406 Tabatinga,-,-,-,1,1,8,6,2,-,1,-,-,-,19
130410 Tapauá,-,-,-,-,-,2,1,-,-,-,-,-,-,3
130420 Tefé,-,-,1,-,1,5,3,1,-,-,-,-,-,11
130426 Uarini,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130430 Urucará,-,-,-,-,-,1,1,-,-,-,-,-,-,2
140005 Alto Alegre,3,-,-,1,5,11,6,6,3,2,1,-,-,38
140002 Amajari,2,-,-,-,-,1,-,-,2,2,-,-,-,7
140010 Boa Vista,1,1,-,4,14,49,41,23,16,6,3,-,-,158
140015 Bonfim,-,-,-,-,1,-,-,-,-,-,-,-,-,1
140017 Cantá,-,-,-,-,1,1,-,1,-,1,-,-,-,4
140020 Caracaraí,7,-,-,-,1,-,1,1,1,-,-,-,-,11
140023 Caroebe,-,1,-,-,-,-,-,1,-,1,-,-,-,3
140028 Iracema,-,-,-,-,-,1,1,1,-,-,-,-,-,3
140030 Mucajaí,-,-,-,-,2,4,3,1,-,-,1,-,-,11
140040 Normandia,-,-,1,-,-,-,-,-,-,-,-,-,-,1
140045 Pacaraima,-,-,-,-,1,-,1,-,-,-,-,-,-,2
140047 Rorainópolis,-,-,-,-,6,2,5,3,-,-,-,-,-,16
140050 São João da Baliza,-,-,-,-,1,1,-,-,-,-,-,-,-,2
140060 São Luiz,-,-,-,-,-,-,-,-,1,1,-,-,-,2
150010 Abaetetuba,-,1,-,-,15,30,28,7,6,3,-,1,2,93
150013 Abel Figueiredo,-,-,-,-,-,2,1,-,1,-,-,-,-,4
150020 Acará,-,-,-,1,5,9,6,4,1,-,-,-,-,26
150030 Afuá,-,-,-,-,1,2,2,-,1,1,-,-,-,7
150034 Água Azul do Norte,-,-,-,-,1,-,-,-,-,1,-,-,1,3
150040 Alenquer,-,-,-,-,-,1,1,-,-,-,1,-,-,3
150050 Almeirim,-,1,-,-,-,3,1,1,1,1,-,-,-,8
150060 Altamira,-,-,-,1,41,65,34,15,11,2,2,-,6,177
150070 Anajás,-,-,-,-,2,2,-,-,-,-,-,-,-,4
150080 Ananindeua,1,1,-,4,74,293,115,55,26,5,8,-,10,592
150085 Anapu,-,1,-,-,-,1,6,2,1,-,1,-,3,15
150090 Augusto Corrêa,-,-,-,-,1,5,4,-,-,1,-,-,1,12
150095 Aurora do Pará,-,-,-,-,1,3,1,2,1,-,-,-,-,8
150110 Bagre,-,-,-,-,2,-,-,-,-,-,-,-,-,2
150120 Baião,-,-,-,-,-,4,-,2,1,-,1,-,-,8
150125 Bannach,-,-,-,-,-,1,1,-,-,-,-,-,-,2
150130 Barcarena,-,-,-,1,4,23,18,6,2,1,1,-,-,56
150140 Belém,2,-,1,7,147,442,249,93,36,16,9,3,14,1.019
150145 Belterra,-,-,-,-,-,-,-,1,-,-,-,-,-,1
150150 Benevides,-,-,-,-,11,27,14,4,2,1,-,-,2,61
150157 Bom Jesus do Tocantins,-,-,-,-,1,1,-,1,-,-,-,-,-,3
150160 Bonito,-,-,-,-,-,1,1,-,-,-,-,-,-,2
150170 Bragança,-,-,-,1,4,12,16,5,3,-,1,-,-,42
150172 Brasil Novo,-,-,-,-,-,2,1,1,1,-,-,-,-,5
150175 Brejo Grande do Araguaia,-,-,-,-,-,-,1,1,-,-,-,-,-,2
